Итерация номер 1	
Номер узла 	U1 	U2 	U 	delta 	
17	9,64665428380436	-0,235591188607989	9,64953066627547	-0,0244172082869637	
72	0,372130389123928	-0,018653275906257	0,372597599578367	-0,0500837269479914	
59	0,376601918980579	-0,0193021613073097	0,377096246084455	-0,0512086773368284	
81	0,370267387308769	-0,0169114787416726	0,370653390943199	-0,0456419723078204	
57	0,368791182784894	-0,0175878249009536	0,369210330414288	-0,0476543639948728	
54	0,379479652497331	-0,0140576629123389	0,379739943311277	-0,037027644730994	
56	0,366881944780172	-0,02081938876668	0,36747218718469	-0,0566860391685035	
75	0,370994973856858	-0,0155358064012531	0,371320120526195	-0,0418516039851594	
66	0,374192582795231	-0,0194786640315068	0,374699222539116	-0,0520082423415783	
68	0,374453286627321	-0,0173805937488344	0,374856437726584	-0,0463826294958549	
70	0,371968643089622	-0,0167800782213865	0,372346938307609	-0,0450809756136846	
73	0,371921444819535	-0,0188686697032694	0,372399768814404	-0,0506894847292128	
76	0,370755621364207	-0,0173513357406952	0,37116141990399	-0,0467658035093594	
61	0,376236575742822	-0,0170665365061372	0,376623455980903	-0,045330109981289	
79	0,370874743009447	-0,0152346357339744	0,371187512085563	-0,0410544958290277	
63	0,374929383990276	-0,0174584860278132	0,375335638747123	-0,0465311199966442	
77	0,371354920510063	-0,0157085157940308	0,371687011416173	-0,0422753428086398	
64	0,367378173019576	-0,0314114859747164	0,368718596577853	-0,0852943292988421	
23	0,378122633900252	-0,0145295266580672	0,378401682623864	-0,0384065397514097	
20	0,387639582820236	-0,0180302943284513	0,388058678143676	-0,0464795375825473	
18	0,381609176750412	-0,0130015501352268	0,38183059605805	-0,0340571551989512	
24	0,380349204054169	-0,0124365611313356	0,380552473487446	-0,0326860992156309	
29	0,379119822321757	-0,0199937807034686	0,379646665919903	-0,0526885555214025	
27	0,373729056579582	-0,0134689980113206	0,373971685611749	-0,0360238813137353	
25	0,377970532272197	-0,0155712831362053	0,378291142011858	-0,0411737994773457	
9	0,381847891080785	-0,0138973372358347	0,382100703879343	-0,0363788993679957	
7	0,375106242608092	-0,0117004889183186	0,375288681796412	-0,0311823559888295	
5	0,376419572943961	-0,0249596884724104	0,377246180820898	-0,0662112328346435	
12	0,380366645974455	-0,0140791043692439	0,380627122719462	-0,0369976704746319	
16	0,380624410146061	-0,0136789671561789	0,380870129757503	-0,0359227687428557	
14	0,380588226318532	-0,0144422170645156	0,380862147825201	-0,0379288949902312	
13	0,387998237940438	-0,0194465715963287	0,388485265861829	-0,0500783526109701	
45	0,372719429518056	-0,0137589068363902	0,372973297512835	-0,0368981626586331	
43	0,379748924919591	-0,0130322400011996	0,379972479604818	-0,0343045802463978	
42	0,378493011817282	-0,0142120185779632	0,378759741084738	-0,037531326838071	
47	0,370971455480557	-0,0152476617737337	0,371284677802531	-0,0410788590679451	
52	0,377705366465052	-0,0201199906305339	0,378240872830359	-0,0532187096265484	
50	0,380905824750897	-0,013977796024698	0,381162204462705	-0,0366797406686881	
49	0,378474707066292	-0,0173356734081206	0,378871521048268	-0,0457720551639042	
35	0,380200395899841	-0,0142954552486669	0,380469054041406	-0,0375820867245361	
33	0,37053733709035	-0,0138806075671819	0,370797234947136	-0,0374432444920845	
31	0,381129220397928	-0,0140787712037965	0,381389164030313	-0,0369228388294864	
36	0,378940088884973	-0,0138616631780145	0,379193534583874	-0,0365637887503116	
82	0,370547524587631	-0,0166153778234915	0,370919854898924	-0,0448100562883426	
40	0,379930596814695	-0,0131645212368866	0,380158602448198	-0,0346359484027974	
38	0,380363356572759	-0,0129598246163198	0,380584077540537	-0,0340590458894354	
F= 0,00106108501638604	
Итерация номер 2	
Номер узла 	U1 	U2 	U 	delta 	
2	109,999563733337	-0,00079797664334009	109,999563736231	-7,25436189238497E-06	
32	9,65592767073369	-0,232713773394792	9,65873153590926	-0,0240959481648327	
67	9,60623334566702	-0,226654733665147	9,60890688162279	-0,0235901710677935	
34	9,64623861354332	-0,230365400948923	9,64898894223476	-0,0238768323247644	
37	9,63776046429924	-0,226508615369338	9,64042182272363	-0,0234978785518211	
65	9,61757737126324	-0,228500633353201	9,62029142134881	-0,0237541789285859	
26	9,70541293324104	-0,242113320336443	9,70843236905973	-0,024941042413217	
71	9,56163259625754	-0,210026149849975	9,56393898398748	-0,0219619797609877	
69	9,5800534105393	-0,216901868911077	9,5825085321915	-0,0226371199281025	
30	9,67510947701524	-0,237366237097966	9,67802077507298	-0,024528779863391	
28	9,69073209201891	-0,240259937320577	9,69370998724258	-0,0247876760471259	
48	9,67131221148247	-0,23262025467069	9,67410936855962	-0,0240479684714683	
46	9,68876147155721	-0,237049701986915	9,69166092132528	-0,0244615805372255	
55	9,69155108663818	-0,243395861992134	9,69460695492873	-0,0251089538970837	
53	9,66566709437397	-0,230032061309044	9,6684039597285	-0,0237943894383865	
51	9,66471604631115	-0,230154172019473	9,66745608724044	-0,0238093575557	
62	9,6309361904909	-0,234520468286962	9,63379114136034	-0,0243459334043847	
39	9,63971396064862	-0,228037569150656	9,64241081763623	-0,0236516401922057	
60	9,66895783662688	-0,240096246844957	9,67193837109281	-0,0248265552991224	
58	9,67011108751451	-0,233754822903388	9,672935943244	-0,0241682134521433	
44	9,70023988718985	-0,239289151974105	9,70319087554611	-0,0246633726964005	
22	9,60791152331619	-0,221497213360133	9,61046434129997	-0,0230495447051005	
6	9,70504482503216	-0,242084040039055	9,70806364515216	-0,0249389728820545	
78	9,6904931936056	-0,232802430306623	9,69328918927281	-0,0240191757439661	
4	9,71800517274027	-0,242529930730455	9,72103108238559	-0,0249515813985205	
15	9,66032583744008	-0,238298717855162	9,6632645397114	-0,0246627706622666	
10	9,66879777045348	-0,239899692026065	9,67177347688419	-0,0248066498738218	
8	9,68461689492667	-0,240856156371514	9,68761147494888	-0,0248648469677572	
80	9,69026472546044	-0,234359925564061	9,69309831912446	-0,0241803763268496	
11	9,64601210552615	-0,22945378147005	9,64874077679507	-0,0237829390515518	
19	9,63900766066398	-0,233777131118183	9,64184216990575	-0,0242484826339878	
74	9,70760359403257	-0,24073089356779	9,71058797921074	-0,0247930978680037	
