itteration ;3.Real ;3.Imaginary ;2.Real ;2.Imaginary ;1.Real ;1.Imaginary ;
41 ;104,985722503873 ;-14,1451260667552 ;102,177723175795 ;-14,5033629071664 ;102,655200548579 ;-14,7744088815897 ;
42 ;104,987533545696 ;-14,2737725877528 ;102,174348125426 ;-14,5770856033974 ;102,654645855017 ;-14,7725887960399 ;
43 ;104,987142369464 ;-14,2729352286444 ;102,175098179537 ;-14,6398105377836 ;102,65423197204 ;-14,9039637361464 ;
44 ;104,99312656771 ;-14,3841659134223 ;102,174775336377 ;-14,7037081508195 ;102,653816881458 ;-14,9023695903339 ;
45 ;104,992818663271 ;-14,3834276635554 ;102,17769466622 ;-14,7579369185928 ;102,658079539186 ;-15,0160207861868 ;
46 ;105,002033949485 ;-14,4794004502045 ;102,179795790665 ;-14,8132120539212 ;102,657779881936 ;-15,0146270959532 ;
47 ;105,001795828263 ;-14,4787506467071 ;102,184396549008 ;-14,8599981226517 ;102,665694603526 ;-15,1127450387018 ;
48 ;105,013452042499 ;-14,5613759867281 ;102,188391355471 ;-14,9077169321626 ;102,665489827108 ;-15,1115288176346 ;
49 ;105,013272140095 ;-14,5608049501631 ;102,19426439554 ;-14,9479927729135 ;102,676195690825 ;-15,19605325196 ;
50 ;105,026710209855 ;-14,6317719195924 ;102,199707366858 ;-14,9890992089601 ;102,676068360429 ;-15,1949938405712 ;
51 ;105,02657863296 ;-14,6312708960958 ;102,206511423468 ;-15,0236891123744 ;102,688845683925 ;-15,2676401988016 ;
52 ;105,041252274359 ;-14,6920708631566 ;102,213030204392 ;-15,0590178598648 ;102,688781047845 ;-15,2667190865559 ;
53 ;105,041160578598 ;-14,6916319614688 ;102,220482394144 ;-15,0886495383563 ;102,703031771119 ;-15,3290024432185 ;
54 ;105,056620252851 ;-14,743579985299 ;102,227767598324 ;-15,1189377188013 ;102,703017383332 ;-15,3282030902056 ;
55 ;105,05656124821 ;-14,7431961117848 ;102,235635097472 ;-15,1442527858667 ;102,718247864687 ;-15,3814598170563 ;
56 ;105,072440129286 ;-14,787450246506 ;102,243431376216 ;-15,1701505270385 ;102,718273257599 ;-15,3807674800059 ;
57 ;105,072407710004 ;-14,7871150403648 ;102,251524147223 ;-15,1917139430621 ;102,734079221282 ;-15,4261747801617 ;
58 ;105,088409441019 ;-14,8246937146277 ;102,259622381668 ;-15,2137939056462 ;102,734135622342 ;-15,4255763459268 ;
59 ;105,08839843711 ;-14,8244014848194 ;102,267786831179 ;-15,2321024764224 ;102,750189019822 ;-15,4641698407355 ;
60 ;105,104286473531 ;-14,8561991202465 ;102,276017322121 ;-15,2508684254159 ;102,750269106406 ;-15,4636536692019 ;
61 ;105,104292521358 ;-14,8559447851482 ;102,284130784208 ;-15,2663584354869 ;102,766306675272 ;-15,4963432040969 ;
62 ;105,119880878416 ;-14,8827458087224 ;102,292357325828 ;-15,2822529396134 ;102,766404362885 ;-15,4958989816205 ;
63 ;105,119900308022 ;-14,8825248391516 ;102,300323274683 ;-15,2953069977931 ;102,78221768807 ;-15,5234828083183 ;
64 ;105,135045547741 ;-14,9050162352486 ;102,308438009515 ;-15,3087183352108 ;102,782327947515 ;-15,5231014121768 ;
65 ;105,135075284884 ;-14,904824601213 ;102,316181915443 ;-15,3196715046338 ;102,797754848865 ;-15,5462788948274 ;
66 ;105,149669594844 ;-14,9236071391562 ;102,324100878332 ;-15,3309398479823 ;102,797873548567 ;-15,5459522687356 ;
67 ;105,149707075911 ;-14,923441260487 ;102,331566629768 ;-15,3400851278744 ;102,81279063671 ;-15,5653352515095 ;
68 ;105,1636723073 ;-14,9390395235682 ;102,339225898103 ;-15,3495080764165 ;102,81291440687 ;-15,565056291949 ;
